"","Cell.ID","Value","Std.Error","p.value"
"424","9183",1.25567199231034e-06,4.34652555280788e-07,0.00608957083300368
"425","9184",1.25567199231034e-06,4.34652555280788e-07,0.00608957083300368
"426","9185",1.21326228493492e-06,4.03857913159899e-07,0.00447549506409281
"427","9186",1.21326228493492e-06,4.03857913159899e-07,0.00447549506409281
"428","9187",1.18515856080521e-06,3.98133268799794e-07,0.00481795387146181
"429","9188",1.18515856080521e-06,3.98133268799794e-07,0.00481795387146181
"430","9189",1.22989619885886e-06,4.13465362312798e-07,0.00484628201420257
"431","9190",1.22443036305647e-06,4.15564940143434e-07,0.00522620236213471
"432","9191",1.1535091479269e-06,4.11723837074314e-07,0.00765644740772112
"433","9192",1.19191129863389e-06,3.53196564941749e-07,0.00159995393032635
"434","9193",1.18880419813934e-06,3.426721370335e-07,0.00121974026453346
"435","9194",1.2605021741245e-06,3.81772659165314e-07,0.00196776349211227
"436","9195",1.16320866995429e-06,6.12581728707244e-07,0.0644664194511492
"437","9196",1.1123482916598e-06,4.32041290232187e-07,0.013649202644771
"438","9197",1.16604164450697e-06,2.8854148523909e-07,0.000221806438559741
"439","9198",1.17339795781972e-06,2.97719098259462e-07,0.000300828218810616
"440","9199",1.19274461223738e-06,3.08339776432547e-07,0.000375243804226812
"441","9200",1.19150604364767e-06,2.76942016015391e-07,9.87654723144011e-05
"442","9201",1.08829102723043e-06,4.2353372532486e-07,0.0138228889605026
"443","9202",1.09167684601395e-06,4.80549022579101e-07,0.0282878043869088
"444","9203",1.10749826672902e-06,4.38325300738143e-07,0.0153705193909123
"445","9204",1.04121521877392e-06,5.6368033479236e-07,0.0717745112396594
"446","9205",1.06567298609474e-06,4.83309713152178e-07,0.0329869535150427
"447","9206",1.15606250028723e-06,3.31957576007237e-07,0.00117361866161768
"448","9207",6.58488168853659e-07,4.48366253311361e-07,0.149381198333475
"449","9208",5.59891391435357e-07,5.16454335017422e-07,0.284501888673238
"450","9224",8.81154579395676e-07,3.3419195135416e-07,0.0116849773633037
